gender,speed,volume,pitch,english,prompt_class_num,prompt_class_num_normal,prompt_class_num_place,question
gender_female,speed_normal,volume_normal,pitch_high,"Could you provide me with a voice that matches the gender of an aunt and is delivered with a bawling pitch, while maintaining a standard speed and a conventional pitch volume level?",1-0-0-2,1-0-0-2,,Could you provide me with a voice that matches the gender of a aunt? This speech is delivered with a bawling pitch. The speaker's speed was standard. Could you create a voice with a conventional pitch volume level?
gender_female,speed_normal,volume_normal,pitch_high,"I am looking for a voice that resembles that of an aunt, with a bawling pitch and a conventional pitch volume level, and delivered at a standard speed.",1-0-0-2,1-0-0-2,,Could you provide me with a voice that matches the gender of a aunt? This speech is delivered with a bawling pitch. The speaker's speed was standard. Could you create a voice with a conventional pitch volume level?
gender_female,speed_normal,volume_normal,pitch_high,"Can you create a voice that has the same gender as an aunt, has a bawling pitch, and is delivered at a standard speed with a conventional pitch volume level?",1-0-0-2,1-0-0-2,,Could you provide me with a voice that matches the gender of a aunt? This speech is delivered with a bawling pitch. The speaker's speed was standard. Could you create a voice with a conventional pitch volume level?
gender_female,speed_normal,volume_normal,pitch_high,"My requirement is a voice that matches the gender of an aunt and delivers with a bawling pitch, but maintains a standard speed and a conventional pitch volume level.",1-0-0-2,1-0-0-2,,Could you provide me with a voice that matches the gender of a aunt? This speech is delivered with a bawling pitch. The speaker's speed was standard. Could you create a voice with a conventional pitch volume level?
gender_female,speed_normal,volume_normal,pitch_high,"A voice is needed that resembles the gender of an aunt, has a bawling pitch, and a conventional pitch volume level while being delivered at a standard speed.",1-0-0-2,1-0-0-2,,Could you provide me with a voice that matches the gender of a aunt? This speech is delivered with a bawling pitch. The speaker's speed was standard. Could you create a voice with a conventional pitch volume level?
gender_male,speed_slow,volume_high,pitch_high,"In search of a virile-specific voice with a ringingly loud volume and a slowing speed of speech, though with a slight pitch of squeakiness.",0-1-2-2,0-1-2-2,,I need a virile-specific voice for this project. I'm looking for a voice that is ringingly in terms of volume. The speed of speech was slowing. The pitch of the speaker's voice is squeaking.
gender_male,speed_slow,volume_high,pitch_high,"The criteria for the required voice for this project include virility, ringingly loud volume, slower speed of speech, and a squeaky pitch.",0-1-2-2,0-1-2-2,,I need a virile-specific voice for this project. I'm looking for a voice that is ringingly in terms of volume. The speed of speech was slowing. The pitch of the speaker's voice is squeaking.
gender_male,speed_slow,volume_high,pitch_high,"Seeking a voice that meets specific requirements in terms of virility, volume with a ringing tone, slower speech, and a slightly squeaky pitch.",0-1-2-2,0-1-2-2,,I need a virile-specific voice for this project. I'm looking for a voice that is ringingly in terms of volume. The speed of speech was slowing. The pitch of the speaker's voice is squeaking.
gender_male,speed_slow,volume_high,pitch_high,"The voice needed for this project should possess virility, a powerful and ringing volume, a slower pace of speech, and a hint of squeakiness in pitch.",0-1-2-2,0-1-2-2,,I need a virile-specific voice for this project. I'm looking for a voice that is ringingly in terms of volume. The speed of speech was slowing. The pitch of the speaker's voice is squeaking.
gender_male,speed_slow,volume_high,pitch_high,"Looking for a voice that exhibits traits of virility, loud volume with clear ringing tones, slowing speech rate, and a slightly squeaky pitch.",0-1-2-2,0-1-2-2,,I need a virile-specific voice for this project. I'm looking for a voice that is ringingly in terms of volume. The speed of speech was slowing. The pitch of the speaker's voice is squeaking.
