gender,speed,volume,pitch,english,prompt_class_num,prompt_class_num_normal,prompt_class_num_place,question
gender_male,speed_fast,volume_high,pitch_normal,"Rapidly paced, loud male voice requested.",0-2-2-0,0-2-2-N,,Please give me a male voice. The presentation proceeded at in double-quick time tempo. The speaker's volume ranged from bigness to bigness.
gender_male,speed_fast,volume_high,pitch_normal,Seeking a male speaker with quick tempo and varying volume.,0-2-2-0,0-2-2-N,,Please give me a male voice. The presentation proceeded at in double-quick time tempo. The speaker's volume ranged from bigness to bigness.
gender_male,speed_fast,volume_high,pitch_normal,In search of a male presenter with energetic pace and dynamic volume.,0-2-2-0,0-2-2-N,,Please give me a male voice. The presentation proceeded at in double-quick time tempo. The speaker's volume ranged from bigness to bigness.
gender_male,speed_fast,volume_high,pitch_normal,Male voice needed for quickly paced presentation with varying loudness.,0-2-2-0,0-2-2-N,,Please give me a male voice. The presentation proceeded at in double-quick time tempo. The speaker's volume ranged from bigness to bigness.
gender_male,speed_fast,volume_high,pitch_normal,Requesting a lively male speaker with quick pace and fluctuating volume.,0-2-2-0,0-2-2-N,,Please give me a male voice. The presentation proceeded at in double-quick time tempo. The speaker's volume ranged from bigness to bigness.
gender_female,speed_fast,volume_high,pitch_low,"Requesting a calm, quick, and large female voice.",1-2-2-1,1-2-2-1,,Could you assist me in finding a voice that is calm in pitch? Desiring a voice with a quick speaking tempo. Please give me a woman voice. Please generate a largeness voice.
gender_female,speed_fast,volume_high,pitch_low,"Seeking assistance to find a woman's calm, quick, and large voice.",1-2-2-1,1-2-2-1,,Could you assist me in finding a voice that is calm in pitch? Desiring a voice with a quick speaking tempo. Please give me a woman voice. Please generate a largeness voice.
gender_female,speed_fast,volume_high,pitch_low,"In need of a peaceful, swift, and powerful female voice.",1-2-2-1,1-2-2-1,,Could you assist me in finding a voice that is calm in pitch? Desiring a voice with a quick speaking tempo. Please give me a woman voice. Please generate a largeness voice.
gender_female,speed_fast,volume_high,pitch_low,"Looking for a serene, rapid, and grandiose voice of a woman.",1-2-2-1,1-2-2-1,,Could you assist me in finding a voice that is calm in pitch? Desiring a voice with a quick speaking tempo. Please give me a woman voice. Please generate a largeness voice.
gender_female,speed_fast,volume_high,pitch_low,"Searching for a composed, speedy, and voluminous voice belonging to a woman.",1-2-2-1,1-2-2-1,,Could you assist me in finding a voice that is calm in pitch? Desiring a voice with a quick speaking tempo. Please give me a woman voice. Please generate a largeness voice.
gender_female,speed_normal,volume_low,pitch_low,Subtle and Gender-Matching Vocal style,1-0-1-1,1-N-1-1,,I need a voice that is discreet in volume. Is it possible to generate a voice that matches the gender of a niece? The pitch of this speech is low-keyed.
gender_female,speed_normal,volume_low,pitch_low,Low-keyed and Gender-Appropriate Voice,1-0-1-1,1-N-1-1,,I need a voice that is discreet in volume. Is it possible to generate a voice that matches the gender of a niece? The pitch of this speech is low-keyed.
gender_female,speed_normal,volume_low,pitch_low,Discreet Volume with Gender-Matching Tone,1-0-1-1,1-N-1-1,,I need a voice that is discreet in volume. Is it possible to generate a voice that matches the gender of a niece? The pitch of this speech is low-keyed.
gender_female,speed_normal,volume_low,pitch_low,Gender-Sensitive and Mellow Speech Pattern,1-0-1-1,1-N-1-1,,I need a voice that is discreet in volume. Is it possible to generate a voice that matches the gender of a niece? The pitch of this speech is low-keyed.
gender_female,speed_normal,volume_low,pitch_low,Delicate and Emanating Gender-Appropriate Voice,1-0-1-1,1-N-1-1,,I need a voice that is discreet in volume. Is it possible to generate a voice that matches the gender of a niece? The pitch of this speech is low-keyed.
gender_female,speed_normal,volume_normal,pitch_high,"Help me find a pitched, madam-like voice with medium volume and ordinary rate.",1-0-0-2,1-0-0-2,,Can you help me find a voice that sounds screams pitched? Please generate a voice that sounds like a madam. Can you create a voice that speaks at a ordinary rate? The speech had a varying medium volume.
gender_female,speed_normal,volume_normal,pitch_high,Can you create a madam-style voice that speaks with varying medium volume and an ordinary rate?,1-0-0-2,1-0-0-2,,Can you help me find a voice that sounds screams pitched? Please generate a voice that sounds like a madam. Can you create a voice that speaks at a ordinary rate? The speech had a varying medium volume.
gender_female,speed_normal,volume_normal,pitch_high,"Generate a voice that combines pitch, madam-like quality, and an ordinary speaking rate with varying medium volume.",1-0-0-2,1-0-0-2,,Can you help me find a voice that sounds screams pitched? Please generate a voice that sounds like a madam. Can you create a voice that speaks at a ordinary rate? The speech had a varying medium volume.
gender_female,speed_normal,volume_normal,pitch_high,Combine a madam-like tone with a varying medium volume and ordinary rate to create a pitched voice.,1-0-0-2,1-0-0-2,,Can you help me find a voice that sounds screams pitched? Please generate a voice that sounds like a madam. Can you create a voice that speaks at a ordinary rate? The speech had a varying medium volume.
gender_female,speed_normal,volume_normal,pitch_high,"Can you find me a voice that screams pitch, while also embodying a madam-style and speaking with varying medium volume at an ordinary rate?",1-0-0-2,1-0-0-2,,Can you help me find a voice that sounds screams pitched? Please generate a voice that sounds like a madam. Can you create a voice that speaks at a ordinary rate? The speech had a varying medium volume.
gender_male,speed_slow,volume_low,pitch_high,Captivating high-key pitch commanded attention with a deliberate pace and soft-spoken volume.,0-1-1-2,0-1-1-2,,This speech has a high-key pitch. gentlemen commanded attention from start to finish. I require a voice that is soft-spoken in terms of loudness. The speaker's speed was dilatorily.
gender_male,speed_slow,volume_low,pitch_high,"Engaging delivery utilized a high-key pitch with a commanding presence and unhurried pace, while utilizing a soft-spoken volume.",0-1-1-2,0-1-1-2,,This speech has a high-key pitch. gentlemen commanded attention from start to finish. I require a voice that is soft-spoken in terms of loudness. The speaker's speed was dilatorily.
gender_male,speed_slow,volume_low,pitch_high,Soft-spoken volume and a high-key pitch with a commanding presence captivated the audience through a measured pace.,0-1-1-2,0-1-1-2,,This speech has a high-key pitch. gentlemen commanded attention from start to finish. I require a voice that is soft-spoken in terms of loudness. The speaker's speed was dilatorily.
gender_male,speed_slow,volume_low,pitch_high,"A measured pace, soft-spoken volume, and high-key pitch commanded attention throughout the speech with a commanding presence.",0-1-1-2,0-1-1-2,,This speech has a high-key pitch. gentlemen commanded attention from start to finish. I require a voice that is soft-spoken in terms of loudness. The speaker's speed was dilatorily.
gender_male,speed_slow,volume_low,pitch_high,"Utilizing a commanding presence, soft-spoken volume, and a high-key pitch with a deliberate pace captivated the audience from start to finish.",0-1-1-2,0-1-1-2,,This speech has a high-key pitch. gentlemen commanded attention from start to finish. I require a voice that is soft-spoken in terms of loudness. The speaker's speed was dilatorily.
gender_male,speed_normal,volume_normal,pitch_low,Medium-paced talk with an undertone and standard volume.,0-0-0-1,N-0-0-1,,"The talk unfolded at medium tempo rate. I'm seeking a voice that has a undertone tone, please. The speech was delivered at a standard level volume."
gender_male,speed_normal,volume_normal,pitch_low,A talk with moderate tempo and undertone tone delivered at a standard volume.,0-0-0-1,N-0-0-1,,"The talk unfolded at medium tempo rate. I'm seeking a voice that has a undertone tone, please. The speech was delivered at a standard level volume."
gender_male,speed_normal,volume_normal,pitch_low,"A speaker using a medium tempo, an undertone tone, and standard volume.",0-0-0-1,N-0-0-1,,"The talk unfolded at medium tempo rate. I'm seeking a voice that has a undertone tone, please. The speech was delivered at a standard level volume."
gender_male,speed_normal,volume_normal,pitch_low,"A talk with a moderate pace, undertone tone, and standard volume.",0-0-0-1,N-0-0-1,,"The talk unfolded at medium tempo rate. I'm seeking a voice that has a undertone tone, please. The speech was delivered at a standard level volume."
gender_male,speed_normal,volume_normal,pitch_low,"A speech delivered with a medium tempo, undertone tone, and standard volume.",0-0-0-1,N-0-0-1,,"The talk unfolded at medium tempo rate. I'm seeking a voice that has a undertone tone, please. The speech was delivered at a standard level volume."
gender_male,speed_fast,volume_high,pitch_high,"Seeking a fast-paced, booming, howling voice that commands attention.",0-2-2-2,0-2-2-2,,Looking for a voice that speaks at a rapids tempo. I'm looking for a voice with a fullmouthed volume level. The pitch of this speech falls in the howling range. gentlemans commanded attention from start to finish.
gender_male,speed_fast,volume_high,pitch_high,In search of a full-mouthed and howling voice that captivates from start to finish.,0-2-2-2,0-2-2-2,,Looking for a voice that speaks at a rapids tempo. I'm looking for a voice with a fullmouthed volume level. The pitch of this speech falls in the howling range. gentlemans commanded attention from start to finish.
