gender,speed,volume,pitch,english,prompt_class_num,prompt_class_num_normal,prompt_class_num_place,question
P,P,P,U,Can you create a speech that reflects a [gender] speaker's tone of voice at a [speed] pace and [volume] volume?,,,P-P-P-U,"Looking for a voice that speaks at a [speed] tempo. Could you generate a voice that aligns with the gender of a [gender], please? The speech was characterized by a [volume] volume."
P,P,U,U,I require a [gender]-appropriate voice that speaks at a [speed] pace.,,,P-P-U-U,I require a voice that corresponds to the gender of a [gender]. I require a voice that speaks at a [speed] pace.
P,P,U,U,My requirement is a voice that corresponds to a [gender] and speaks at a [speed] pace.,,,P-P-U-U,I require a voice that corresponds to the gender of a [gender]. I require a voice that speaks at a [speed] pace.
P,P,U,U,The type of voice that I need is [gender]-specific and speaks at a [speed] pace.,,,P-P-U-U,I require a voice that corresponds to the gender of a [gender]. I require a voice that speaks at a [speed] pace.
P,P,U,U,"For my needs, the voice must be [gender]-related and speak at a [speed] pace.",,,P-P-U-U,I require a voice that corresponds to the gender of a [gender]. I require a voice that speaks at a [speed] pace.
P,P,U,U,A voice that matches the gender of a [gender] and speaks at the desired [speed] pace is what I'm looking for.,,,P-P-U-U,I require a voice that corresponds to the gender of a [gender]. I require a voice that speaks at a [speed] pace.
P,U,U,U,"Age, [gender] spoke with remarkable clarity.",,,P-U-U-U,[gender] spoke with remarkable clarity.
P,U,U,U,"Despite emotion, [gender] spoke with remarkable clarity.",,,P-U-U-U,[gender] spoke with remarkable clarity.
P,U,U,U,"Occupation, [gender] spoke with remarkable clarity.",,,P-U-U-U,[gender] spoke with remarkable clarity.
P,U,U,U,"Nationality, [gender] spoke with remarkable clarity.",,,P-U-U-U,[gender] spoke with remarkable clarity.
P,U,U,U,"Appearance, [gender] spoke with remarkable clarity.",,,P-U-U-U,[gender] spoke with remarkable clarity.
U,U,U,P,Can you assist me in locating a voice that is [pitch] pitched and matches my desired tone?,,,U-U-U-P,Can you help me find a voice that sounds [pitch] pitched?
U,U,U,P,I am searching for a voice that is [pitch] pitched; would you be able to aid me in finding one?,,,U-U-U-P,Can you help me find a voice that sounds [pitch] pitched?
U,U,U,P,Could you please help me find a voice that has a [pitch] pitch and suits my needs?,,,U-U-U-P,Can you help me find a voice that sounds [pitch] pitched?
U,U,U,P,"I require assistance in finding a voice that is [pitch] pitched to match my desired vocal tone, can you help me with this?",,,U-U-U-P,Can you help me find a voice that sounds [pitch] pitched?
U,U,U,P,Can you help me locate a voice that possesses the [pitch] pitch that I need for my project?,,,U-U-U-P,Can you help me find a voice that sounds [pitch] pitched?
