gender,speed,volume,pitch,english,prompt_class_num,prompt_class_num_normal,prompt_class_num_place,question
U,P,U,U,The talk unfolded at a [speed] pace.,,,U-P-U-U,The talk unfolded at [speed] rate.
U,P,U,U,The speaker maintained a [speed] tempo throughout the talk.,,,U-P-U-U,The talk unfolded at [speed] rate.
U,P,U,U,"Throughout the talk, the pace remained [speed].",,,U-P-U-U,The talk unfolded at [speed] rate.
U,P,U,U,The talk was delivered at a consistent [speed].,,,U-P-U-U,The talk unfolded at [speed] rate.
U,P,U,U,The [speed] pace of the talk remained unaltered.,,,U-P-U-U,The talk unfolded at [speed] rate.
P,P,U,P,I need a [pitch] tone and [speed] rate voice with matching [gender].,,,P-P-U-P,I'm looking for a voice that has a [pitch] tone. Can you create a voice that speaks at a [speed] rate? Is it possible to generate a voice that matches the gender of a [gender]?
P,P,U,P,"Could you develop a voice to speak with [pitch], [speed] rate, and [gender] attribution?",,,P-P-U-P,I'm looking for a voice that has a [pitch] tone. Can you create a voice that speaks at a [speed] rate? Is it possible to generate a voice that matches the gender of a [gender]?
P,P,U,P,"Seeking voice with [pitch] tone, [speed] rate, and [gender] for creation.",,,P-P-U-P,I'm looking for a voice that has a [pitch] tone. Can you create a voice that speaks at a [speed] rate? Is it possible to generate a voice that matches the gender of a [gender]?
P,P,U,P,"Requesting a voice that embodies [pitch], [speed] rate, and [gender] characteristics.",,,P-P-U-P,I'm looking for a voice that has a [pitch] tone. Can you create a voice that speaks at a [speed] rate? Is it possible to generate a voice that matches the gender of a [gender]?
P,P,U,P,"Can you design a voice reflecting [pitch], [speed] rate, and [gender] specifications?",,,P-P-U-P,I'm looking for a voice that has a [pitch] tone. Can you create a voice that speaks at a [speed] rate? Is it possible to generate a voice that matches the gender of a [gender]?
U,U,U,P,The [pitch] range is where this speech falls.,,,U-U-U-P,The pitch of this speech falls in the [pitch] range.
U,U,U,P,"Falling in the [pitch] range, this speech is delivered.",,,U-U-U-P,The pitch of this speech falls in the [pitch] range.
U,U,U,P,"Delivered with a [pitch] in the range, this speech is.",,,U-U-U-P,The pitch of this speech falls in the [pitch] range.
U,U,U,P,"This speech is in the [pitch] range, with falling pitch.",,,U-U-U-P,The pitch of this speech falls in the [pitch] range.
U,U,U,P,"While the pitch falls within the [pitch] range, this speech is given.",,,U-U-U-P,The pitch of this speech falls in the [pitch] range.
U,U,P,U,The speaker maintained [volume] volume from beginning to end of the speech.,,,U-U-P-U,"Throughout the speech, the volume remained [volume]."
U,U,P,U,"From start to finish, the speaker spoke with a consistent [volume] volume.",,,U-U-P-U,"Throughout the speech, the volume remained [volume]."
U,U,P,U,The speech was delivered with [volume] volume that remained constant throughout.,,,U-U-P-U,"Throughout the speech, the volume remained [volume]."
U,U,P,U,Consistent [volume] volume was maintained throughout the entire speech.,,,U-U-P-U,"Throughout the speech, the volume remained [volume]."
P,P,U,U,I need a [gender]-specific voice speaking at a [speed] speed.,,,P-P-U-U,I need a voice that speaks at a [speed] speed. I need a [gender]-specific voice for this project.
P,P,U,U,A [speed] speed [gender]-specific voice is needed for this project.,,,P-P-U-U,I need a voice that speaks at a [speed] speed. I need a [gender]-specific voice for this project.
P,P,U,U,"For this project, I require a voice that is [gender] and speaks at a [speed] speed.",,,P-P-U-U,I need a voice that speaks at a [speed] speed. I need a [gender]-specific voice for this project.
P,P,U,U,Seeking a [gender] voice that is capable of speaking at a [speed] speed.,,,P-P-U-U,I need a voice that speaks at a [speed] speed. I need a [gender]-specific voice for this project.
P,P,U,U,In search of a [speed] speed voice that is [gender]-specific for this project.,,,P-P-U-U,I need a voice that speaks at a [speed] speed. I need a [gender]-specific voice for this project.
P,U,P,U,Please generate a [gender] and [volume] voice.,,,P-U-P-U,Could you please generate a voice that corresponds to the [gender] gender? Please generate a [volume] voice.
P,U,P,U,Generate a voice that matches [gender] and [volume].,,,P-U-P-U,Could you please generate a voice that corresponds to the [gender] gender? Please generate a [volume] voice.
P,U,P,U,Can you create a [volume] voice that fits [gender]?,,,P-U-P-U,Could you please generate a voice that corresponds to the [gender] gender? Please generate a [volume] voice.
P,U,P,U,"I need a [gender] and [volume] matching voice, can you generate it?",,,P-U-P-U,Could you please generate a voice that corresponds to the [gender] gender? Please generate a [volume] voice.
P,U,P,U,Create a voice that corresponds to [gender] and has [volume].,,,P-U-P-U,Could you please generate a voice that corresponds to the [gender] gender? Please generate a [volume] voice.
U,P,U,P,I need a [speed] and [pitch] voice.,,,U-P-U-P,"I require a voice that speaks at a [speed] pace. I need a voice that is [pitch] pitched, please."
U,P,U,P,A [speed] pace and [pitch] pitch voice is required.,,,U-P-U-P,"I require a voice that speaks at a [speed] pace. I need a voice that is [pitch] pitched, please."
U,P,U,P,Can you provide a voice that is [pitch] pitched and speaks at a [speed] pace?,,,U-P-U-P,"I require a voice that speaks at a [speed] pace. I need a voice that is [pitch] pitched, please."
U,P,U,P,The voice I require must have a [speed] pace and [pitch] pitch.,,,U-P-U-P,"I require a voice that speaks at a [speed] pace. I need a voice that is [pitch] pitched, please."
U,P,P,P,"The style of speech that I am after combines [pitch], [speed], and [volume] appropriately.",,,U-P-P-P,I'm looking for a voice that has a [pitch] tone. The speaker's volume ranged from [volume] to [volume]. Could you generate a voice with a [speed] speaking rate?
U,U,P,P,A [pitch] pitched voice was sought while maintaining [volume] volume during the speech.,,,U-U-P-P,"Throughout the speech, the volume remained [volume]. Can you help me find a voice that sounds [pitch] pitched?"
U,U,P,P,Searching for a [pitch] pitched voice did not affect the [volume] volume maintained throughout the speech.,,,U-U-P-P,"Throughout the speech, the volume remained [volume]. Can you help me find a voice that sounds [pitch] pitched?"
U,U,P,P,The speaker preserved [volume] volume while seeking a [pitch] pitched voice.,,,U-U-P-P,"Throughout the speech, the volume remained [volume]. Can you help me find a voice that sounds [pitch] pitched?"
U,U,P,P,"Despite searching for a [pitch] pitched voice, the speaker maintained [volume] volume throughout the speech.",,,U-U-P-P,"Throughout the speech, the volume remained [volume]. Can you help me find a voice that sounds [pitch] pitched?"
P,U,U,P,A [gender]-specific voice with [pitch] range would be much appreciated.,,,P-U-U-P,I would appreciate receiving a voice specifically tailored to a [gender]. The pitch of this speech falls in the [pitch] range.
P,U,U,P,Can I get a voice that is tailored for [gender] with a pitch falling in the [pitch] range?,,,P-U-U-P,I would appreciate receiving a voice specifically tailored to a [gender]. The pitch of this speech falls in the [pitch] range.
P,U,U,P,The speech I require should be specifically designed for [gender] with the pitch being in the [pitch] range.,,,P-U-U-P,I would appreciate receiving a voice specifically tailored to a [gender]. The pitch of this speech falls in the [pitch] range.
P,U,U,P,I'm looking for a [gender]-specific voice that has a pitch within the [pitch] range.,,,P-U-U-P,I would appreciate receiving a voice specifically tailored to a [gender]. The pitch of this speech falls in the [pitch] range.
P,U,U,P,Could I please have a voice that is specifically suited for [gender] with the pitch falling in the [pitch] range?,,,P-U-U-P,I would appreciate receiving a voice specifically tailored to a [gender]. The pitch of this speech falls in the [pitch] range.
P,P,P,U,The [speed] presentation was delivered in a [gender]-sounding [volume].,,,P-P-P-U,The presentation flowed at [speed] speed. I kindly request a voice that is [gender]-sounding. The speech was characterized by a [volume] volume.
P,P,P,U,A [gender]-sounding voice delivered the presentation with [volume] volume at [speed] speed.,,,P-P-P-U,The presentation flowed at [speed] speed. I kindly request a voice that is [gender]-sounding. The speech was characterized by a [volume] volume.
U,P,P,U,Could you generate a voice with a [speed] speaking rate and a [volume] volume level?,,,U-P-P-U,Could you generate a voice with a [speed] speaking rate? I'm looking for a voice with a [volume] volume level.
U,P,P,U,I need a voice with a [speed] speaking rate and a [volume] volume level.,,,U-P-P-U,Could you generate a voice with a [speed] speaking rate? I'm looking for a voice with a [volume] volume level.
U,P,P,U,Can you create a voice that has both [speed] speaking rate and [volume] volume level?,,,U-P-P-U,Could you generate a voice with a [speed] speaking rate? I'm looking for a voice with a [volume] volume level.
U,P,P,U,A voice with a [speed] speaking rate and [volume] volume level is what I am after.,,,U-P-P-U,Could you generate a voice with a [speed] speaking rate? I'm looking for a voice with a [volume] volume level.
U,P,P,U,Looking for a voice that possesses both [speed] speaking rate and [volume] volume level.,,,U-P-P-U,Could you generate a voice with a [speed] speaking rate? I'm looking for a voice with a [volume] volume level.
P,U,P,P,"""I require a [gender]-matching voice with [pitch] pitch, delivered at a [volume] volume.""",,,P-U-P-P,"Is it possible to generate a voice that matches the gender of a [gender]? The speech was delivered at a [volume] volume. I need a voice that is [pitch] pitched, please."
P,U,P,P,"""In search for a voice that is [pitch] pitched and matches the [gender], with a delivery volume of [volume].""",,,P-U-P-P,"Is it possible to generate a voice that matches the gender of a [gender]? The speech was delivered at a [volume] volume. I need a voice that is [pitch] pitched, please."
P,U,P,P,"""Looking to generate a voice that is [pitch] pitched to match a specific [gender], with a delivery volume of [volume].""",,,P-U-P-P,"Is it possible to generate a voice that matches the gender of a [gender]? The speech was delivered at a [volume] volume. I need a voice that is [pitch] pitched, please."
P,U,P,P,"""Require [gender]-specific synchronized voice at a desired [pitch] pitch and [volume] volume.""",,,P-U-P-P,"Is it possible to generate a voice that matches the gender of a [gender]? The speech was delivered at a [volume] volume. I need a voice that is [pitch] pitched, please."
P,U,P,P,"""Need [pitch] pitched voice to match [gender] with [volume] volume delivery.""",,,P-U-P-P,"Is it possible to generate a voice that matches the gender of a [gender]? The speech was delivered at a [volume] volume. I need a voice that is [pitch] pitched, please."
P,P,P,P,"The [volume] and [pitch] fluctuations, [gender] tones, and [speed] pace of the speech intertwine.",,,P-P-P-P,The volume of the speech fluctuated between [volume] and [volume]. The pitch of the speaker's voice is [pitch]. I'm looking for a voice that reflects the characteristics of a [gender]. The speech moved at [speed] pace.
P,P,P,P,"The [gender] voice characteristics are embodied in the [pitch] and [volume] fluctuations, and [speed] pace of the speech.",,,P-P-P-P,The volume of the speech fluctuated between [volume] and [volume]. The pitch of the speaker's voice is [pitch]. I'm looking for a voice that reflects the characteristics of a [gender]. The speech moved at [speed] pace.
P,U,U,U,"A precise style of speech was evident in [gender], who spoke with remarkable clarity.",,,P-U-U-U,[gender] spoke with remarkable clarity.
P,U,U,U,"Speaking with remarkable clarity, [gender] displayed a precise style of speech.",,,P-U-U-U,[gender] spoke with remarkable clarity.
P,U,U,U,"With remarkable clarity, [gender] employed a precise style of speech.",,,P-U-U-U,[gender] spoke with remarkable clarity.
U,P,U,U,Generate a voice with a [speed] pace of speech.,,,U-P-U-U,Please generate a voice that speaks at a [speed] pace.
U,P,U,U,Create a [speed] paced speaking voice.,,,U-P-U-U,Please generate a voice that speaks at a [speed] pace.
U,P,U,U,Generate a voice that speaks with a [speed] tempo.,,,U-P-U-U,Please generate a voice that speaks at a [speed] pace.
U,P,U,U,Create a voice with a [speed] rate of speech.,,,U-P-U-U,Please generate a voice that speaks at a [speed] pace.
U,P,U,U,Generate a voice that speaks at a [speed] speed.,,,U-P-U-U,Please generate a voice that speaks at a [speed] pace.
P,P,U,P,Create a [gender]-specific voice that speaks at a [speed] rate with [pitch] pitch for project.,,,P-P-U-P,I need a [gender]-specific voice for this project. Can you create a voice that speaks at a [speed] rate? The speaker's pitch is [pitch].
P,P,U,P,Project requires [gender]-specific voice that speaks at a [speed] rate and has [pitch] pitch.,,,P-P-U-P,I need a [gender]-specific voice for this project. Can you create a voice that speaks at a [speed] rate? The speaker's pitch is [pitch].
U,U,U,P,I'm interested in a voice with a [pitch] pitch level.,,,U-U-U-P,"I'm interested in a voice with a [pitch] pitch level, please."
U,U,U,P,Please provide me with a voice that has a [pitch] pitch level.,,,U-U-U-P,"I'm interested in a voice with a [pitch] pitch level, please."
U,U,U,P,A voice with a [pitch] pitch level is what I am seeking.,,,U-U-U-P,"I'm interested in a voice with a [pitch] pitch level, please."
U,U,U,P,Requesting a voice with a [pitch] pitch level.,,,U-U-U-P,"I'm interested in a voice with a [pitch] pitch level, please."
U,U,U,P,Seeking a [pitch] pitch level voice.,,,U-U-U-P,"I'm interested in a voice with a [pitch] pitch level, please."
U,U,P,U,The [volume] volume of the speech fluctuated.,,,U-U-P-U,The speech had a varying [volume] volume.
U,U,P,U,The speech had inconsistent [volume].,,,U-U-P-U,The speech had a varying [volume] volume.
U,U,P,U,The speech was characterized by fluctuating [volume].,,,U-U-P-U,The speech had a varying [volume] volume.
P,P,U,U,I need a [gender]-sounding voice that speaks at a [speed] pace.,,,P-P-U-U,I require a voice that speaks at a [speed] pace. Could you provide me with a voice that is distinctly [gender]-sounding?
P,P,U,U,Can you give me a voice that is [gender]-sounding and speaks at a [speed] pace?,,,P-P-U-U,I require a voice that speaks at a [speed] pace. Could you provide me with a voice that is distinctly [gender]-sounding?
P,P,U,U,"A [speed] paced, distinctly [gender]-sounding voice is what I need.",,,P-P-U-U,I require a voice that speaks at a [speed] pace. Could you provide me with a voice that is distinctly [gender]-sounding?
P,P,U,U,I am searching for a voice that is distinctly [gender]-sounding and speaks at a [speed] pace.,,,P-P-U-U,I require a voice that speaks at a [speed] pace. Could you provide me with a voice that is distinctly [gender]-sounding?
P,P,U,U,Could you find me a distinctly [gender]-sounding voice that speaks at a [speed] pace?,,,P-P-U-U,I require a voice that speaks at a [speed] pace. Could you provide me with a voice that is distinctly [gender]-sounding?
P,U,P,U,Generate a [volume] and [gender] voice.,,,P-U-P-U,Please generate a [volume] voice. Please give me a [gender] voice.
P,U,P,U,Provide me with a [gender] voice with [volume].,,,P-U-P-U,Please generate a [volume] voice. Please give me a [gender] voice.
P,U,P,U,Produce a voice with a specific [volume] and [gender].,,,P-U-P-U,Please generate a [volume] voice. Please give me a [gender] voice.
